0, 1.6
 1, 3.5271
 2, 4.55175
 3, 5.13186
 4, 5.59959
 5, 5.98098 
6, 6.3343
 7, 6.62135
 8, 6.92587
 9, 7.19579
 10, 7.38551
11, 7.55734
 12, 7.70569
 13, 7.85783
 14, 7.99384
 15, 8.14917 
16, 8.28613
 17, 8.39057
 18, 8.48621
 19, 8.57427
 20, 8.64911 
21, 8.7212
 22, 8.82893
 23, 8.91857
 24, 8.99031
 25, 9.06547 
26, 9.13875
 27, 9.20573
 28, 9.47154
 29, 9.84991
 30, 10.0613 
31, 10.223
 32, 10.367
 33, 10.4894
 34, 10.5963
 35, 11.0545 
36, 11.9219
 37, 12.2993
 38, 12.5533
 39, 12.7698
 40, 12.963 
41, 13.1351
 42, 13.2771
 43, 13.4307
 44, 13.5579
 45, 13.6725 
46, 13.7798
 47, 13.8804
 48, 13.9607
 49, 14.048
 50, 14.1485 
51, 14.238
 52, 14.3165
 53, 14.3945
 54, 14.4663
 55, 14.5339
