0, 1.6
1, 2.68206
2, 3.41239
3, 3.8871
4, 4.35937
5, 4.75109
6, 5.03224
7, 5.29374
8, 5.55666
9, 5.75748
10, 5.92025
11, 6.07707
12, 6.23797
13, 6.36256
14, 6.49109
15, 6.6269
16, 6.73067
17, 6.82937
18, 6.91624
19, 6.99377
20, 7.07259
21, 7.14956
22, 7.8206
23, 8.10829
24, 8.31126
25, 8.48072
26, 8.61333
27, 8.72916
28, 8.84857
29, 8.9456
30, 9.04259
31, 9.12841
32, 9.2107
33, 9.28734
34, 9.34587
35, 9.40875
36, 9.47995
37, 9.53958
38, 9.59331
39, 9.6054
40, 9.64929
41, 9.69444
42, 9.7442
43, 9.79523
44, 9.84048
45, 9.88047
46, 9.91621
47, 9.95143
48, 9.98317
49, 10.0193
50, 10.059
51, 10.0952
52, 10.1247
53, 10.2029
54, 10.252
55, 10.2941
56, 10.3552
57, 10.4038
58, 10.4455
59, 10.4826
60, 10.5254
61, 10.5669
62, 10.6049
63, 10.6454
64, 10.6846
65, 10.7204
66, 10.7487
67, 10.7801
68, 10.8072
69, 10.829
70, 10.8583
71, 10.8897
72, 10.9224
73, 10.9311

